,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,photos,opening_hours.open_now
0,OPERATIONAL,"46018 Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tres Creus (carril bus) - Pare Esteban Pernet,ChIJke7_DXNPYA0RYxlm4sgah2Q,0.0,ChIJke7_DXNPYA0RYxlm4sgah2Q,"['transit_station', 'point_of_interest', 'establishment']",0,39.4669756,-0.4063366,39.46832232989271,-0.4050340201072777,39.46562267010727,-0.4077336798927222,"FH8V+QF Valencia, Spain",8CFXFH8V+QF,,
1,OPERATIONAL,"46014 Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,València Sud,ChIJm5c5Gv9OYA0RHJ95SPdW_1Y,3.7,ChIJm5c5Gv9OYA0RHJ95SPdW_1Y,"['subway_station', 'transit_station', 'point_of_interest', 'establishment']",30,39.4408237,-0.4105733,39.44193807989272,-0.4097593201072777,39.43923842010728,-0.4124589798927222,"CHRQ+8Q Valencia, Spain",8CFXCHRQ+8Q,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115132392174733963465"">A Google User</a>'], 'photo_reference': 'Aap_uEBFqE92TqMzgx8D9_8yO3jKhb6N6T1QFccsbij6hV5fZwiDmdMygPIuBBKPEwR4t90HM7ikFgsCFsr_HHtnqsA_b78f_e0cIuv5ylbW88Jyk3tALmOp1LCoN6fC0W_OqbrqbZd9MHtazeJTJ1zhdnmJ17_DLcS2yZYJme0B49AbpRUC', 'width': 1024}]",
2,OPERATIONAL,"46007 Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pl. Espanya,ChIJD43ay0lPYA0RPjp5DS9Rmlg,4.2,ChIJD43ay0lPYA0RPjp5DS9Rmlg,"['subway_station', 'transit_station', 'point_of_interest', 'establishment']",84,39.4661462,-0.3816775,39.46746377989272,-0.3804328201072778,39.46476412010728,-0.3831324798927223,"FJ89+F8 Valencia, Spain",8CFXFJ89+F8,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103214046204366224237"">Juan Dapena</a>'], 'photo_reference': 'Aap_uEBPDnqmfruNy3Sr02o0V1WwjPV_fS8RVvpZ-OLfZgNEJseTTt3Lo8QxWfQDbNvCEhj240I-yRm4rTwE3zYWrliFR51GThFYzeIfd6qs8N_ABzxrXtwn1S5ejUNMhm2FozeCBcQ4Uzo5Bsh971-5nzdP7uO3Gu5gbOMUhq2VVCBmFdym', 'width': 4000}]",
3,OPERATIONAL,"46014 Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pare Esteban Pernet - Misericòrdia,ChIJBfbE8HRPYA0RbqMRB8YrN4Q,0.0,ChIJBfbE8HRPYA0RbqMRB8YrN4Q,"['transit_station', 'point_of_interest', 'establishment']",0,39.4672306,-0.4094715,39.46853502989273,-0.4081184701072777,39.46583537010728,-0.4108181298927222,"FH8R+V6 Valencia, Spain",8CFXFH8R+V6,,
4,OPERATIONAL,"46014 Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Escultor Salzillo - Casa de la Misericòrdia,ChIJ6WQL1HRPYA0RXDm1REnQKTU,4.3,ChIJ6WQL1HRPYA0RXDm1REnQKTU,"['transit_station', 'point_of_interest', 'establishment']",4,39.4657966,-0.4095826,39.46710562989272,-0.4082257701072778,39.46440597010728,-0.4109254298927222,"FH8R+85 Valencia, Spain",8CFXFH8R+85,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111519252872407047589"">A Google User</a>'], 'photo_reference': 'Aap_uEAcGyCoUailo0aiTIyOJzVyajyQDCH9uYMxJnGyvAi5nqVB_B7mp6ctLnsUxyDQEfKHVp8a9wBz19TjuXEuZA2wwYzFKFhdR_7I1XOU7mR8oiTMd2TquNmPeayQTcynuMqi946LTa1FpONf0rwLR429iwdVAzvZ1JbXs6ZAalAmoxK3', 'width': 4160}]",
5,OPERATIONAL,"46007 Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Estación de Bailén,ChIJS69T4DVPYA0R88DMQfqAEn8,4.0,ChIJS69T4DVPYA0R88DMQfqAEn8,"['transit_station', 'point_of_interest', 'establishment']",3,39.46397779999999,-0.3794222,39.46535417989271,-0.3780472701072777,39.46265452010727,-0.3807469298927222,"FJ7C+H6 Valencia, Spain",8CFXFJ7C+H6,"[{'height': 1229, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106605571758883927175"">Denis Frolow</a>'], 'photo_reference': 'Aap_uEBf7iqLa3BPa1aWpUu7F2S8IE4UCJXTEMHQf8dPyNW3DyuqpNgtfn6iLhklH71nPlrcH67R-xD-sNrKmNwc4Y9kqy17A7wzr039JWzLENR-WtLpG6icAMrWIxTf3i-_8xgxs5H9CQk-GeR8a2HfsF_RX11uK-ppCDNNQ1wqC7Bnp7Bw', 'width': 2048}]",
6,OPERATIONAL,"46100 Burjassot, Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Estación de Empalme,ChIJ2c2Xk5BFYA0R-OmAbUJOYpY,1.6,ChIJ2c2Xk5BFYA0R-OmAbUJOYpY,"['transit_station', 'point_of_interest', 'establishment']",11,39.4995766,-0.4021083,39.50092642989272,-0.4007584701072777,39.49822677010728,-0.4034581298927222,"FHXX+R5 Burjassot, Spain",8CFXFHXX+R5,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109461532348320940281"">Victor Alandi</a>'], 'photo_reference': 'Aap_uECIbBeOorrPKDmx1r55CI1um2yCKbP5_c7N7N1kqbri7Ad9lCktKEKUVuMaQNoBg5qcDb7iCQ77AVMnnwbZoYscSW6kpOGTu1pOYF-sIJoipcmdh5lpsXtv3Xbk2aOOCC9Whv84HbnRIzBi-k5Kk2hOpEGHSbUyzpxRId4ljpSP4HEt', 'width': 1024}]",
7,OPERATIONAL,"46014 Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pare Esteban Pernet - Casa Misericòrdia,ChIJ-7yI8HRPYA0RaL5zV6UdOyQ,0.0,ChIJ-7yI8HRPYA0RaL5zV6UdOyQ,"['transit_station', 'point_of_interest', 'establishment']",0,39.4671387,-0.4095332,39.46851817989273,-0.4081855201072778,39.46581852010728,-0.4108851798927223,"FH8R+V5 Valencia, Spain",8CFXFH8R+V5,,
8,OPERATIONAL,"46017 Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dr. Tomàs Sala - Gaspar Aguilar,ChIJRf_oTh9PYA0R-N8BGUQ0V2o,5.0,ChIJRf_oTh9PYA0R-N8BGUQ0V2o,"['transit_station', 'point_of_interest', 'establishment']",2,39.4491041,-0.3944725,39.45045752989272,-0.3932310201072778,39.44775787010727,-0.3959306798927222,"CJX4+J6 Valencia, Spain",8CFXCJX4+J6,,
9,OPERATIONAL,"Valencia, Spain",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Estación de Pont de Fusta,ChIJjfkEaKtIYA0RUG6ED85zrvo,1.0,ChIJjfkEaKtIYA0RUG6ED85zrvo,"['transit_station', 'point_of_interest', 'establishment']",1,39.4813465,-0.3736328,39.48269632989273,-0.3722829701072778,39.47999667010728,-0.3749826298927222,"FJJG+GG Valencia, Spain",8CFXFJJG+GG,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110546222088358264999"">Pedro Llorente</a>'], 'photo_reference': 'Aap_uECYQscnc3sOl4dwClHu-yb39BDsG5xxC8Cro-8t1P9kW5f-CLUvfLwn-qQH6On3i35wpH30V7GMkbKh661MDv31xPX795HxxRGlPlWchCprvTNQT22esm5goshciJs0Y5ZbvUgoQTd-wIM02kLy66pvPj04JGnb7sFgOC0ygN9Ep12G', 'width': 3024}]",
